SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerId,SalesPersonId,TerritoryID,BillToAddressID,ShipToAddressID,CreditCardId,CreditCardApprovalCode,CurrencyRateID,Subtotal,TaxAmt,Freight,Comment,rowguid,ModifiedDate
45266,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45266,PO19923129248,10-4020-000018,29955,275,3,756,756,5,25076Vi71036,NULL,24509.8281,2358.7032,737.0948,NULL,4F589907-C455-4136-A764-4DCF88051B0B,08/01/2012
45267,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45267,PO19981117950,10-4020-000271,29611,280,1,862,862,5,125077Vi30104,NULL,3463.2998,332.4768,103.899,NULL,89D111B5-CDFF-4661-BC6B-8866E8BD6176,08/01/2012
45268,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45268,PO19430121252,10-4020-000318,29548,278,6,498,498,5,115101Vi28965,2737,838.9178,80.5361,25.1675,NULL,DCE26604-B36A-4384-B7E4-62396CCBF900,08/01/2012
45269,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45269,PO19691172522,10-4020-000353,29620,282,6,503,503,5,105118Vi29202,2737,2024.994,194.3994,60.7498,NULL,25EF0CA0-5F8D-4A22-9191-F925E5A421F9,08/01/2012
45270,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45270,PO19546173994,10-4020-000206,29888,279,5,930,930,5,15143Vi12293,NULL,28770.606,2761.343,862.9197,NULL,20F79745-2B97-437C-9D95-A85DA57664D8,08/01/2012
45271,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45271,PO19256135802,10-4020-000162,29555,275,2,772,772,5,45170Vi5889,NULL,5980.0532,574.0851,179.4016,NULL,F8BF283A-F0E3-47AA-B341-B97FF1AFD78D,08/01/2012
45272,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45272,PO19227144019,10-4020-000210,29539,278,6,480,480,5,55220Vi966,2737,3775.1301,362.4125,113.2539,NULL,96D4F611-FDBF-44BB-A210-3D545FBD048D,08/01/2012
45273,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45273,PO18908136254,10-4020-000164,29717,283,1,851,851,5,15244Vi82057,NULL,40634.88,3900.9485,1219.0464,NULL,5536D180-2401-449B-8153-69407CD3D638,08/01/2012
45274,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45274,PO18676111897,10-4020-000697,29818,276,1,1104,1104,5,55254Vi75492,NULL,66993.8289,6430.8154,2009.6298,NULL,832191A7-1967-4B8F-BE1A-9E8865FABA98,08/01/2012
45275,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45275,PO18560176206,10-4020-000531,30011,279,5,969,969,5,115262Vi23395,NULL,7166.6775,688.0011,215.0003,NULL,54F2D7B1-F52B-4993-BB63-59B3F1930B3E,08/01/2012
45276,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45276,PO18270194346,10-4020-000011,29813,282,6,446,446,5,85315Vi63488,2737,6089.982,584.6383,182.6995,NULL,0A037201-9CF9-48E8-A6C0-9AF7EB2637A0,08/01/2012
45277,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45277,PO18386174353,10-4020-000558,29509,275,2,816,816,5,125316Vi46289,NULL,29534.9446,2835.2095,886.003,NULL,A8F94061-5B5E-49AD-835F-DBEF6457D26F,08/01/2012
45278,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45278,PO18415191281,10-4020-000191,29892,282,6,476,476,5,75325Vi57135,2737,29200.519,2802.9807,875.9315,NULL,DD6995FE-D03D-4871-8D30-169F22D7DBD1,08/01/2012
45279,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45279,PO17777133626,10-4020-000208,29988,282,6,478,478,5,45376Vi50783,2737,1022.856,98.6847,30.839,NULL,CAEBB22D-42E3-4F7C-A8E3-3AFA04C2771D,08/01/2012
45280,8,01/01/2012,13/01/2012,08/01/2012,5,0,SO45280,PO17748162196,10-4020-000102,29946,278,6,462,462,5,65406Vi74935,2737,12755.8756,1225.5308,382.9784,NULL,4BEBEE0E-CBD7-4507-B257-E46515D76C03,08/01/2012
