Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
21,2012-05-25,79.49,3.561,221.3828029,6.891,False
21,2012-06-01,79.24,3.501,221.3852748,6.891,False
21,2012-06-08,79.47,3.452,221.3877467,6.891,False
21,2012-06-15,81.51,3.393,221.4009901,6.891,False
21,2012-06-22,81.78,3.346,221.4411622,6.891,False
21,2012-06-29,88.05,3.286,221.4813343,6.891,False
21,2012-07-06,85.26,3.227,221.5215064,6.565,False
21,2012-07-13,82.51,3.256,221.5616784,6.565,False
21,2012-07-20,84.25,3.311,221.5701123,6.565,False
21,2012-07-27,88.09,3.407,221.5785461,6.565,False
21,2012-08-03,91.57,3.417,221.5869799,6.565,False
21,2012-08-10,89.57,3.494,221.5954138,6.565,False
21,2012-08-17,85.55,3.571,221.6751459,6.565,False
21,2012-08-24,77.72,3.62,221.8083518,6.565,False
21,2012-08-31,83.58,3.638,221.9415576,6.565,False
21,2012-09-07,88.4,3.73,222.0747635,6.565,True
21,2012-09-14,76.1,3.717,222.2174395,6.565,False
21,2012-09-21,71.54,3.721,222.4169362,6.565,False
21,2012-09-28,80.38,3.666,222.6164329,6.565,False
21,2012-10-05,70.28,3.617,222.8159296,6.17,False
21,2012-10-12,61.53,3.601,223.0154263,6.17,False
21,2012-10-19,68.52,3.594,223.0598077,6.17,False
21,2012-10-26,70.5,3.506,223.0783366,6.17,False
21,2012-11-02,56.96,3.386,223.0968655,6.17,False
21,2012-11-09,63.81,3.314,223.1153944,6.17,False
21,2012-11-16,54.06,3.252,223.1469028,6.17,False
21,2012-11-23,58.85,3.211,223.1957173,6.17,True
21,2012-11-30,53.59,3.207,223.2445318,6.17,False
21,2012-12-07,64.28,3.198,223.2933463,6.17,False
21,2012-12-14,47.55,3.168,223.3523969,6.17,False
21,2012-12-21,55.81,3.098,223.4728642,6.17,False
21,2012-12-28,41.89,3.108,223.5933316,6.17,True
21,2013-01-04,39.19,3.161,223.7137989,6.237,False
21,2013-01-11,47.52,3.243,223.8342663,6.237,False
21,2013-01-18,41.19,3.237,223.86882,6.237,False
21,2013-01-25,52.38,3.227,223.8690083,6.237,False
21,2013-02-01,55.38,3.244,223.8691966,6.237,False
21,2013-02-08,57.87,3.417,223.8693849,6.237,True
21,2013-02-15,50.02,3.475,223.9106714,6.237,False
21,2013-02-22,49.09,3.597,224.0547032,6.237,False
21,2013-03-01,46.28,3.711,224.198735,6.237,False
21,2013-03-08,52.76,3.658,224.3427668,6.237,False
21,2013-03-15,56.28,3.622,224.469439,6.237,False
21,2013-03-22,61.41,3.611,224.5527121,6.237,False
21,2013-03-29,51.35,3.606,224.6359852,6.237,False
21,2013-04-05,58.8,3.583,224.7192583,6.112,False
21,2013-04-12,61.27,3.529,224.8025314,6.112,False
21,2013-04-19,67.52,3.451,224.8025314,6.112,False
21,2013-04-26,58.66,3.417,224.8025314,6.112,False
22,2010-02-05,24.36,2.788,135.3524608,8.283,False
22,2010-02-12,28.14,2.771,135.4113076,8.283,True
22,2010-02-19,31.96,2.747,135.4657781,8.283,False
22,2010-02-26,35.98,2.753,135.5195191,8.283,False
22,2010-03-05,36.82,2.766,135.5732602,8.283,False
22,2010-03-12,43.43,2.805,135.6270013,8.283,False
22,2010-03-19,46.03,2.834,135.6682247,8.283,False
22,2010-03-26,48.56,2.831,135.7073618,8.283,False
22,2010-04-02,44.96,2.826,135.7464988,8.348,False
22,2010-04-09,57.06,2.849,135.7856359,8.348,False
22,2010-04-16,51.14,2.885,135.82725,8.348,False
22,2010-04-23,51.04,2.895,135.8721667,8.348,False
22,2010-04-30,50.96,2.935,135.9170833,8.348,False
22,2010-05-07,63.81,2.981,135.962,8.348,False
22,2010-05-14,50.99,2.983,136.010394,8.348,False
22,2010-05-21,59.99,2.961,136.0796521,8.348,False
22,2010-05-28,65.64,2.906,136.1489101,8.348,False
22,2010-06-04,69.49,2.857,136.2181682,8.348,False
22,2010-06-11,65.01,2.83,136.2874263,8.348,False
22,2010-06-18,67.13,2.805,136.3243393,8.348,False
22,2010-06-25,74.37,2.81,136.3483143,8.348,False
22,2010-07-02,72.88,2.815,136.3722893,8.433,False
22,2010-07-09,79.22,2.806,136.3962643,8.433,False
22,2010-07-16,76.3,2.796,136.4179827,8.433,False
22,2010-07-23,76.91,2.784,136.4366924,8.433,False
22,2010-07-30,76.35,2.792,136.4554021,8.433,False
22,2010-08-06,74.37,2.792,136.4741118,8.433,False
22,2010-08-13,74.75,2.81,136.4928214,8.433,False
22,2010-08-20,73.21,2.796,136.5249182,8.433,False
22,2010-08-27,68.99,2.77,136.557015,8.433,False
22,2010-09-03,75.85,2.735,136.5891118,8.433,False
22,2010-09-10,68.6,2.717,136.6212085,8.433,True
22,2010-09-17,62.49,2.716,136.6338071,8.433,False
22,2010-09-24,65.14,2.718,136.6317821,8.433,False
22,2010-10-01,69.31,2.717,136.6297571,8.572,False
22,2010-10-08,56.32,2.776,136.6277321,8.572,False
22,2010-10-15,55.23,2.878,136.6401935,8.572,False
22,2010-10-22,50.24,2.919,136.688871,8.572,False
22,2010-10-29,57.73,2.938,136.7375484,8.572,False
22,2010-11-05,44.34,2.938,136.7862258,8.572,False
22,2010-11-12,44.42,2.961,136.8349032,8.572,False
22,2010-11-19,48.62,3.03,136.7715714,8.572,False
22,2010-11-26,44.61,3.07,136.6895714,8.572,True
22,2010-12-03,39.42,3.065,136.6075714,8.572,False
22,2010-12-10,28.43,3.132,136.5255714,8.572,False
22,2010-12-17,30.46,3.139,136.5292811,8.572,False
22,2010-12-24,29.76,3.15,136.597273,8.572,False
22,2010-12-31,28.49,3.177,136.665265,8.572,True
22,2011-01-07,32.56,3.193,136.7332569,8.458,False
22,2011-01-14,24.76,3.215,136.803477,8.458,False
22,2011-01-21,26.8,3.232,136.8870657,8.458,False
22,2011-01-28,20.61,3.243,136.9706544,8.458,False
22,2011-02-04,26.39,3.24,137.0542431,8.458,False
22,2011-02-11,28.89,3.255,137.1378318,8.458,True
22,2011-02-18,35.34,3.263,137.2511849,8.458,False
22,2011-02-25,30.23,3.281,137.3764439,8.458,False
22,2011-03-04,33.52,3.437,137.5017028,8.458,False
22,2011-03-11,41.42,3.6,137.6269617,8.458,False
22,2011-03-18,43.38,3.634,137.7398929,8.458,False
22,2011-03-25,38.77,3.624,137.8478929,8.458,False
22,2011-04-01,36.04,3.638,137.9558929,8.252,False
22,2011-04-08,44.42,3.72,138.0638929,8.252,False
22,2011-04-15,48.88,3.823,138.1646952,8.252,False
22,2011-04-22,47.76,3.919,138.2475036,8.252,False
22,2011-04-29,57.2,3.988,138.3303119,8.252,False
22,2011-05-06,53.63,4.078,138.4131202,8.252,False
22,2011-05-13,57.71,4.095,138.4959286,8.252,False
22,2011-05-20,58.56,4.101,138.587106,8.252,False
22,2011-05-27,62.59,4.034,138.6782834,8.252,False
22,2011-06-03,70.09,3.973,138.7694608,8.252,False
22,2011-06-10,69.53,3.924,138.8606382,8.252,False
22,2011-06-17,63.97,3.873,139.0028333,8.252,False
22,2011-06-24,68.53,3.851,139.1832917,8.252,False
22,2011-07-01,70.8,3.815,139.36375,8.023,False
22,2011-07-08,74.22,3.784,139.5442083,8.023,False
22,2011-07-15,75.2,3.827,139.7006325,8.023,False
22,2011-07-22,77.79,3.882,139.7969712,8.023,False
22,2011-07-29,75.32,3.898,139.8933099,8.023,False
22,2011-08-05,75.33,3.903,139.9896486,8.023,False
22,2011-08-12,74.69,3.88,140.0859873,8.023,False
22,2011-08-19,71.3,3.82,140.1289205,8.023,False
22,2011-08-26,72.22,3.796,140.1629528,8.023,False
22,2011-09-02,69.16,3.784,140.196985,8.023,False
22,2011-09-09,69.14,3.809,140.2310173,8.023,True
22,2011-09-16,68.08,3.809,140.2735,8.023,False
22,2011-09-23,62.36,3.758,140.32725,8.023,False
22,2011-09-30,69.78,3.684,140.381,8.023,False
