country,publication,book_rating,awards_won,number_of_reviews,price,,,,,
1001,A Gentleman in Moscow,Amor Towles,Historical Fiction,2016,United States,Viking,4.4,10,10200,16.8
1002,Ace the Data Science Interview,"Kevin Huo, Nick Singh",Non-Fiction,2021,United States,Ace the Data Science Interview,4.5,8,850,31
1003,All the Light We Cannot See,Anthony Doerr,Historical Fiction,2014,United States,Scribner,4.3,7,7500,14.95
1004,Atomic Habits,James Clear,Self-Help,2018,United States,Avery,4.8,10,13000,14.99
1005,Becoming,Michelle Obama,Biography,2018,United States,Crown,4.7,6,11600,19.99
1006,Before the Coffee Gets Cold,Toshikazu Kawaguchi,Fiction,2015,Japan,Picador,4.1,1,4800,9.49
1007,Bird Box,Josh Malerman,Horror,2014,United States,Ecco,4,5,6900,12
1008,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Non-Fiction,2005,United States,Little Brown,4.2,6,8400,11.79
1009,Bridget Jones's Diary,Helen Fielding,Chick Lit,1996,United Kingdom,Macmillan,3.7,3,7200,8.49
1010,Building Data-Intensive Apps with Flask and SQLAlchemy,Jeffrey E. Wiggins,Non-Fiction,2020,United States,O'Reilly Media,4.1,0,180,32.99
1011,Crazy Rich Asians,Kevin Kwan,Romance,2013,China,Anchor,3.8,4,8900,13.2
1012,Data Engineering Cookbook,Andreas Kretz,Non-Fiction,2021,Germany,Packt Publishing,4.5,0,150,27.99
1013,Data Engineering with Python,Paul Crickard and Andreas M?ller,Non-Fiction,2019,United States,O'Reilly Media,4.2,0,240,29.99
1014,Data Science for Business,Foster Provost and Tom Fawcett,Non-Fiction,2013,United States,Sebastian Kugler,4.1,0,310,34.99
1015,Designing Data-Intensive Applications,Martin Kleppmann,Non-Fiction,2017,United Kingdom,O'Reilly Media,4.6,3,480,39.99
1016,Dune,Frank Herbert,Science Fiction,1965,United States,Chilton Books,4.2,3,9200,9.99
1017,Educated: A Memoir,Tara Westover,Non-Fiction,2018,United States,Random House,4.5,17,8700,14.5
1018,Ender's Game,Orson Scott Card,Science Fiction,1985,United States,Tor Books,4.3,5,8900,7.49
1019,Fundamentals of Data Engineering,"Joe Reis, Matt Housley",Non-Fiction,2022,United States,O'Reilly Media,4.7,2,285,42
1020,Gone Girl,Gillian Flynn,Mystery/Thriller,2012,United States,Broadway Books,4,5,9000,12.99
1021,Good Omens,Neil Gaiman and Terry Pratchett,Humor,1990,United Kingdom,Gollancz,4.2,5,8200,14.95
1022,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurelien Geron,Non-Fiction,2019,United States,O'Reilly Media,4.7,1,1120,49.99
1023,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,1997,United Kingdom,Bloomsbury,4.5,22,15400,12.98
1024,Killing Commendatore,Haruki Murakami,Mystery/Thriller,2017,Japan,Alfred A. Knopf,3.8,2,9200,15.3
1025,Learning SQL,Alan Beaulieu,Non-Fiction,2020,United States,O'Reilly Media,4.6,5,430,32.99
1026,Leonardo da Vinci,Walter Isaacson,Biography,2017,United States,Simon & Schuster,4.1,3,8900,15.95
1027,Me Before You,Jojo Moyes,Romance,2012,United Kingdom,Michael Joseph,4.3,2,7800,9.5
1028,Memoirs of a Geisha,Arthur Golden,Historical Fiction,1997,United States,Alfred A. Knopf,4.2,6,8700,14.2
1029,Milk and Honey,Rupi Kaur,Poetry,2014,Canada,Andrews McMeel Publishing,4.2,6,9800,12
1030,Mindset: The New Psychology of Success,Carol S. Dweck,Self-Help,2006,United States,Ballantine Books,4.5,8,7800,13.79
1031,Neuromancer,William Gibson,Science Fiction,1984,United States,Ace Books,4,3,7200,10.99
1032,Norwegian Wood,Haruki Murakami,Fantasy,1987,Japan,Kodansha,4,6,9500,12.75
1033,Pride and Prejudice,Jane Austen,Romance,1813,United Kingdom,Thomas Egerton,4.2,2,8200,7.99
1034,Python for Data Analysis,Wes McKinney,Non-Fiction,2012,United States,O'Reilly Media,4.3,0,560,25.99
1035,Robert Kuok: A Memoir,Robert Kuok Hock Nien,Biography,2018,Malaysia,Penguin Random House Malaysia,4.2,5,5600,12.49
1036,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-Fiction,2011,Israel,Harper,4.6,11,10500,16.99
1037,Steve Jobs,Walter Isaacson,Biography,2011,United States,Simon & Schuster,4.2,13,8500,24.99
1038,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,Non-Fiction,2015,United States,Wiley,4.5,2,390,29.99
1039,The 7 Habits of Highly Effective People,Stephen R. Covey,Self-Help,1989,United States,Free Press,4.1,15,9200,12.49
1040,The Alchemist,Paulo Coelho,Religion,1988,Brazil,HarperOne,4.3,10,10500,11.95
1041,The Book Thief,Markus Zusak,Historical Fiction,2005,Australia,Picador,4.4,18,9300,12.3
1042,The Fault in Our Stars,John Green,Young Adult,2012,United States,Dutton Books,4.2,8,7900,11.25
1043,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery/Thriller,2005,Sweden,Norstedts,4.2,10,8200,11.5
1044,The Hunger Games,Suzanne Collins,Young Adult,2008,United States,Scholastic,4.3,11,12500,9.99
1045,The Night Circus,Erin Morgenstern,Fantasy,2011,United States,Doubleday,4.5,15,1200,29.99
1046,The Notebook,Nicholas Sparks,Romance,1996,United States,Warner Books,4.1,2,6200,9.99
1047,The Power of Habit,Charles Duhigg,Non-Fiction,2012,United States,Random House,4.1,9,9400,10.75
1048,The Silent Patient,Alex Michaelides,Mystery/Thriller,2019,United States,Celadon Books,4.3,2,1500,27.99
1049,To All the Boys I've Loved Before,Jenny Han,Young Adult,2014,United States,Simon & Schuster,4.1,2,7100,8.99
1050,Where the Crawdads Sing,Delia Owens,Mystery/Thriller,2018,United States,G. P. Putnam's Sons,4.7,5,1800,24.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
