danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.438,0.796,4,-4.246,1,0.0745,0.163,0.597,0.168,0.824,97.926,audio_features,1o597QjfCG2jZRVYUxXUpv,spotify:track:1o597QjfCG2jZRVYUxXUpv,https://api.spotify.com/v1/tracks/1o597QjfCG2jZRVYUxXUpv,https://api.spotify.com/v1/audio-analysis/1o597QjfCG2jZRVYUxXUpv,249600,4
0.615,0.586,0,-9.846,1,0.0339,0.163,1.11e-06,0.145,0.763,130.221,audio_features,4J0phvYcKa1Hr1EBwH0pu3,spotify:track:4J0phvYcKa1Hr1EBwH0pu3,https://api.spotify.com/v1/tracks/4J0phvYcKa1Hr1EBwH0pu3,https://api.spotify.com/v1/audio-analysis/4J0phvYcKa1Hr1EBwH0pu3,206933,4
0.466,0.632,6,-6.94,1,0.0326,0.465,0.000256,0.135,0.246,68.893,audio_features,5sVf9kN90ScddiT3SdT9Qh,spotify:track:5sVf9kN90ScddiT3SdT9Qh,https://api.spotify.com/v1/tracks/5sVf9kN90ScddiT3SdT9Qh,https://api.spotify.com/v1/audio-analysis/5sVf9kN90ScddiT3SdT9Qh,259907,4
0.507,0.647,9,-11.035,0,0.0425,0.0168,0.000369,0.103,0.559,117.413,audio_features,4t2dUobtoXRlqxz2pIxp71,spotify:track:4t2dUobtoXRlqxz2pIxp71,https://api.spotify.com/v1/tracks/4t2dUobtoXRlqxz2pIxp71,https://api.spotify.com/v1/audio-analysis/4t2dUobtoXRlqxz2pIxp71,218314,4
0.699,0.467,4,-8.578,0,0.0375,0.685,0.0,0.315,0.764,119.287,audio_features,1Jmqubf9kGkWeYQXQKImL5,spotify:track:1Jmqubf9kGkWeYQXQKImL5,https://api.spotify.com/v1/tracks/1Jmqubf9kGkWeYQXQKImL5,https://api.spotify.com/v1/audio-analysis/1Jmqubf9kGkWeYQXQKImL5,130173,4
0.614,0.872,2,-6.168,1,0.105,0.0123,0.0,0.0375,0.768,139.698,audio_features,4vtaM6xsM7V8R1sJseCWHu,spotify:track:4vtaM6xsM7V8R1sJseCWHu,https://api.spotify.com/v1/tracks/4vtaM6xsM7V8R1sJseCWHu,https://api.spotify.com/v1/audio-analysis/4vtaM6xsM7V8R1sJseCWHu,184867,4
0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,audio_features,7ACxUo21jtTHzy7ZEV56vU,spotify:track:7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/tracks/7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/audio-analysis/7ACxUo21jtTHzy7ZEV56vU,293183,4
0.709,0.305,9,-14.809,0,0.0397,0.687,0.0,0.265,0.483,118.821,audio_features,5Q2Im8o4RthlAMkvUMYwGj,spotify:track:5Q2Im8o4RthlAMkvUMYwGj,https://api.spotify.com/v1/tracks/5Q2Im8o4RthlAMkvUMYwGj,https://api.spotify.com/v1/audio-analysis/5Q2Im8o4RthlAMkvUMYwGj,169533,4
0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,audio_features,0LtOwyZoSNZKJWHqjzADpW,spotify:track:0LtOwyZoSNZKJWHqjzADpW,https://api.spotify.com/v1/tracks/0LtOwyZoSNZKJWHqjzADpW,https://api.spotify.com/v1/audio-analysis/0LtOwyZoSNZKJWHqjzADpW,192960,4
0.615,0.823,1,-9.39,1,0.0314,0.436,7.04e-05,0.171,0.921,135.093,audio_features,267BsRG0aX8LfeHsvCOdFA,spotify:track:267BsRG0aX8LfeHsvCOdFA,https://api.spotify.com/v1/tracks/267BsRG0aX8LfeHsvCOdFA,https://api.spotify.com/v1/audio-analysis/267BsRG0aX8LfeHsvCOdFA,191560,4
0.401,0.937,2,-6.243,0,0.164,0.0762,0.00154,0.269,0.696,148.036,audio_features,11dn3mAagE0hOvd35rBNeV,spotify:track:11dn3mAagE0hOvd35rBNeV,https://api.spotify.com/v1/tracks/11dn3mAagE0hOvd35rBNeV,https://api.spotify.com/v1/audio-analysis/11dn3mAagE0hOvd35rBNeV,342520,4
0.612,0.735,8,-5.074,0,0.0282,0.00202,0.00118,0.328,0.783,126.326,audio_features,0mav6n8nq1QYVecjGNO472,spotify:track:0mav6n8nq1QYVecjGNO472,https://api.spotify.com/v1/tracks/0mav6n8nq1QYVecjGNO472,https://api.spotify.com/v1/audio-analysis/0mav6n8nq1QYVecjGNO472,226053,4
0.474,0.418,0,-9.654,1,0.0299,0.514,0.000343,0.0535,0.504,83.308,audio_features,3L60Vu9qmY6fg2QroRIxgi,spotify:track:3L60Vu9qmY6fg2QroRIxgi,https://api.spotify.com/v1/tracks/3L60Vu9qmY6fg2QroRIxgi,https://api.spotify.com/v1/audio-analysis/3L60Vu9qmY6fg2QroRIxgi,238600,3
0.465,0.917,5,-6.331,1,0.237,0.0152,0.02,0.286,0.39,155.061,audio_features,3INsYP1Y8GG4qJvBsKCdXC,spotify:track:3INsYP1Y8GG4qJvBsKCdXC,https://api.spotify.com/v1/tracks/3INsYP1Y8GG4qJvBsKCdXC,https://api.spotify.com/v1/audio-analysis/3INsYP1Y8GG4qJvBsKCdXC,217824,4
0.393,0.364,5,-10.945,0,0.0345,0.0021,0.0703,0.121,0.308,118.566,audio_features,1SDiiE3v2z89VxC3aVRKHQ,spotify:track:1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/tracks/1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/audio-analysis/1SDiiE3v2z89VxC3aVRKHQ,444148,3
0.59,0.42,2,-8.668,1,0.0411,0.831,0.000734,0.207,0.519,89.954,audio_features,4Jw6ENp38dMtW97Ll0BkZz,spotify:track:4Jw6ENp38dMtW97Ll0BkZz,https://api.spotify.com/v1/tracks/4Jw6ENp38dMtW97Ll0BkZz,https://api.spotify.com/v1/audio-analysis/4Jw6ENp38dMtW97Ll0BkZz,211796,4
0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,audio_features,70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r,238640,4
